FACULTY             ,SUBJECT DESCRIPTION,SUBJECT CODE,NO,QUESTION,LEVEL,BT LEVEL,BT KEYWORDS
FEGT,SOLID STATE ELECTRONICS ,UGEA3343 ,690,An electron experiences a potential difference of 5 kV in vacuum. Find the wavelength of the particle. ,LOTS,COMPREHENSION,Find
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,303,Explain the process of consumer perception and provide ONE (1) example to support your explanation. ,LOTS,COMPREHENSION,"Explain, Provide"
FSC,ENZYMOLOGY I ,UDEE2134,905,Discuss the advantages and disadvantages of using laccase-based de colorization treatment.,LOTS,COMPREHENSION,Discuss
FSC,PLANT BIOCHEMISTRY,UDEE3213,976,"Illustrate with a labelled drawing the pathway of nitrate assimilation in leaf mesophyll cells. In your answer, discuss the origin of nitrate that is available to the mesophyll cells, the energy requirements of nitrate assimilation, the end products, and the fate of unassimilated nitrate. ",LOTS,COMPREHENSION,"Illustrate, Discuss"
FAS,ORGANIZATIONAL COMMUNICATION ,UAMP3034,539,Explain formal network. ,LOTS,COMPREHENSION,Explain
FEGT,SOLID STATE ELECTRONICS ,UGEA3343 ,691,Draw the energy band diagram of an 11-type semiconductor and explain how an electron-hole pair (EHP) is formed. State any assumptions you have made. ,LOTS,COMPREHENSION,"Draw, Explain, State"
FEGT,BUILDING ECONOMICS ,UGBA3513 ,602,Outline TWO (2) main causes of inflation. ,LOTS,COMPREHENSION,Outline
FAS,DESIGN FUNDAMENTALS II ,UAMA1043,385,Explain the meaning of creative brief.,LOTS,COMPREHENSION,Explain
FSC,PLANT BIOCHEMISTRY,UDEE3213,963,"Illustrate with a drawing the biochemical pathway for natural rubber biosynthesis, beginning with acetyl CoA. ",LOTS,COMPREHENSION,Illustrate
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,172,A bond fund manager decided to allocate certain percentage of the portfolio in foreign bond market to improve the reward-to-risk ratio. Briefly explain THREE (3) specific risks related to investing in international bond market. ,LOTS,COMPREHENSION,Explain
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,158,"""Portfolio management strategies are different based on investor's risk preferences and expected return”. Based on above statement, briefly discuss TWO (2) major portfolio management strategies. ",LOTS,COMPREHENSION,Discuss
